"Record Set","Primary Classification","Subtype","Name","Description","Product","Domain / Product Category","Commercial Type","Availability","Availability Group","Identifier","Minimum Required Version","Related Joule Assistants","Source","Source Collection","Snapshot Date","Notes"
"SAP Business AI Platform","SAP AI Product / Technology","Contextualise and Reason — Primary platform product","SAP Knowledge Graph","Provides a SAP-managed semantic layer connecting business data, processes, and relationships.","SAP Business AI Platform","Contextualise and Reason","","See current product and regional service availability","Other / verify source","","","","https://www.sap.com/products/artificial-intelligence/knowledge-graph.html","https://www.sap.com/australia/products/ai-platform.html","2026-07-13","Technology/product inventory kept separate from the customer-facing capability classification."
"SAP Business AI Platform","SAP AI Product / Technology","Govern and Operate — Value realisation and governance product","SAP LeanIX","Connects agents and AI initiatives to enterprise architecture and business capabilities.","SAP Business AI Platform","Govern and Operate","","See current product availability","Other / verify source","","","","https://www.sap.com/products/business-transformation-management/enterprise-architecture-management.html","https://www.sap.com/australia/products/ai-platform.html","2026-07-13","Technology/product inventory kept separate from the customer-facing capability classification."
"SAP Business AI Platform","SAP AI Product / Technology","Govern and Operate — Value realisation and governance product","SAP Signavio Process Mining","Identifies agent opportunities and measures process execution, conformance, and value.","SAP Business AI Platform","Govern and Operate","","See current product availability","Other / verify source","","","","https://www.sap.com/products/business-transformation-management/process-mining.html","https://www.sap.com/australia/products/ai-platform.html","2026-07-13","Technology/product inventory kept separate from the customer-facing capability classification."
"SAP Business AI Platform","SAP AI Product / Technology","Contextualise and Reason — AI Services and Models component","SAP-ABAP-1","SAP model focused on ABAP development scenarios.","SAP Business AI Platform","Contextualise and Reason","","See current product-page availability","Other / verify source","","","","https://www.sap.com/products/artificial-intelligence/sap-abap.html","https://www.sap.com/australia/products/ai-platform.html","2026-07-13","Technology/product inventory kept separate from the customer-facing capability classification."
"SAP Business AI Platform","SAP AI Product / Technology","Contextualise and Reason — AI Services and Models component","SAP-RPT-1.5","SAP predictive model for classification and regression on structured business data.","SAP Business AI Platform","Contextualise and Reason","","SAP roadmap planned GA in H2 2026","Planned / roadmap","","","","https://www.sap.com/products/artificial-intelligence/sap-rpt.html","https://www.sap.com/australia/products/ai-platform.html","2026-07-13","Technology/product inventory kept separate from the customer-facing capability classification."
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Accounting Accruals Agent","Automate journal entry preparation for manual accruals.","SAP S/4HANA Cloud Public Edition","Cloud ERP applications","","Beta","Beta","J787","","","https://discovery-center.cloud.sap/ai-feature/2ba6ab3e-ff22-4cb6-b3b4-20613ae8f6e3/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Accounts Receivable Agent","Reduce uncollectable write-offs with an agent.","Joule‚ SAP S/4HANA Cloud Private Edition","Financial Management","","Beta","Beta","J467","SAP S/4HANA 2023 FPS01","","https://discovery-center.cloud.sap/ai-feature/ecd030e9-59b3-43b4-85cf-260d498912dd/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Booking Agent","Streamline trip planning for business travelers.","Joule‚ Concur Travel","Technology Platform","Base","Generally Available","Generally Available","J650","","","https://discovery-center.cloud.sap/ai-feature/47844870-d3f6-4ffd-abdf-945d6bc20ae7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Case Classification Agent","Analyze and classify customer service tickets and cases.","SAP Service Cloud Version 2‚ SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J937","","","https://discovery-center.cloud.sap/ai-feature/ae306b48-6dfd-4384-bc70-0a3a4f754867/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Cash Positioning Agent","Find out deficit and surplus bank accounts and propose the bank transfer.","SAP S/4HANA Cloud Public Edition‚ Joule","Financial Management","","Beta","Beta","J585","","Cash and Treasury Assistant","https://discovery-center.cloud.sap/ai-feature/cd99c7b2-f716-46ab-8fe5-640f9aa02613/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Cash Positioning Agent","Automate reconciliations and propose cash optimizations.","Joule‚ SAP S/4HANA Cloud Private Edition","Financial Management","","Beta","Beta","J425","SAP S/4HANA 2023 FPS01","Cash and Treasury Assistant","https://discovery-center.cloud.sap/ai-feature/61f9300e-11e0-4ca2-acee-ace35c44fae0/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Catalog Optimization Agent","Optimize product data to boost merchandising accuracy and agility.","SAP CX AI Toolkit","Customer Relationship Management","","Beta","Beta","J741","","","https://discovery-center.cloud.sap/ai-feature/28593981-f647-4d1b-bb1f-709783df1fa6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Change Record Management Agent","Reduce engineering change costs and accelerate time-to-market.","Joule‚ SAP S/4HANA Cloud Private Edition","Product Lifecycle Management","","Beta","Beta","J788","SAP S/4HANA 2023 FPS00","Product Design Assistant","https://discovery-center.cloud.sap/ai-feature/905534ac-4ede-4c01-a815-476a1643ac7c/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Dashboard Analyzer Agent","Explain insights and drives process improvements in SAP Signavio.","SAP Signavio Process Intelligence‚ Joule","Business Transformation Management","","Beta","Beta","J1132","","","https://discovery-center.cloud.sap/ai-feature/251eb6f4-4565-4ac7-8e6c-f5eb6df7d210/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Digital Service Agent","Enhance CX with swift‚ informed‚ and knowledge-based support.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J663","","","https://discovery-center.cloud.sap/ai-feature/9bd66628-12f0-46f7-b9d7-ce4ff725a946/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Dispute Resolution Agent","Automates the process of resolving disputes about incorrect invoices.","Joule‚ SAP S/4HANA Cloud Private Edition","Financial Management","","Beta","Beta","J855","SAP S/4HANA 2023 FPS02","","https://discovery-center.cloud.sap/ai-feature/bbf06e89-a47a-4a80-a619-97fa7ba6af92/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Dispute Resolution Agent","Automates the process of resolving disputes about incorrect invoices.","SAP S/4HANA Cloud Public Edition‚ Joule","Cloud ERP applications","","Beta","Beta","J1043","","Accounts Receivable Assistant","https://discovery-center.cloud.sap/ai-feature/d3a94887-d357-4620-98d5-784a035f9e41/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Enterprise Content Research Agent","Accelerating and simplifying enterprise content search and analysis.","SAP LeanIX solutions","Business Transformation Management","Premium","Generally Available","Generally Available","J1343","","Enterprise Architecture Assistant","https://discovery-center.cloud.sap/ai-feature/642bce38-bc56-4108-932d-da68eab917be/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Expense Automation Agent","Automatically create and populate expense reports for employees.","Concur Expense‚ Joule","Spend Management","Base","Generally Available","Generally Available","J1038","","","https://discovery-center.cloud.sap/ai-feature/460b2ed7-7abe-4cc9-87a9-ec2648b940b8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Expense Report Validation Agent","Get smart support to minimize errors and simplify expense submission.","Concur Expense‚ Joule","Spend Management","Base","Generally Available","Generally Available","J327","","Expense Management Assistant","https://discovery-center.cloud.sap/ai-feature/ba618aac-87c8-485d-8d3c-3338f6a8658a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","International Trade Classification Agent","Save time and ensure compliance by automatically classify goods for shipping.","SAP S/4HANA Cloud Public Edition","Financial Management","","Beta","Beta","J648","","","https://discovery-center.cloud.sap/ai-feature/cb3aa823-c475-4f81-9730-d35d85bd55c7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Knowledge Creation Agent","Create knowledge base articles based on customer tickets.","SAP Sales Cloud Version 2‚ SAP Service Cloud Version 2‚ SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J938","","","https://discovery-center.cloud.sap/ai-feature/275ab5f1-2276-401b-bd37-6b034efde8e3/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Maintenance Event Planning Agent","Avoid disruptions with real-time insights‚ smart updates‚ and planning support.","Joule‚ SAP S/4HANA Cloud Private Edition","Cloud ERP applications","","Beta","Beta","J2462","SAP S/4HANA 2023 FPS03","","https://discovery-center.cloud.sap/ai-feature/8b3daa3f-7a07-4a62-8d23-20e13d00aea4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Meeting Planning Agent","Helps executive assistant to organize offsite meetings.","Joule‚ Concur Travel","Spend Management","Base","Generally Available","Generally Available","J326","","Travel Assistant","https://discovery-center.cloud.sap/ai-feature/65b25edc-21cc-4b54-8f3c-eb4524ab3117/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Order Reliability Agent","Detect and resolve order exceptions for customer service teams.","Joule","Customer Relationship Management","","Beta","Beta","J955","","","https://discovery-center.cloud.sap/ai-feature/51d0ed9c-7588-45e5-891d-44ef3ac456f5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Performance Preparation Agent","Provide managers data-driven insights before 1:1 with employees.","SAP SuccessFactors Performance and Goals‚ SAP SuccessFactors Employee Central‚ Joule","Human Capital Management","Base","Generally Available","Generally Available","J671","","Performance and Goals Assistant","https://discovery-center.cloud.sap/ai-feature/761a2305-b0a2-4262-b9a3-abd4945ad314/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Process Consulting Agent","Reason over data and generate actionable insights in natural language.","SAP Signavio Process Collaboration Hub‚ Joule","Business Transformation Management","Premium","Generally Available","Generally Available","J1177","","","https://discovery-center.cloud.sap/ai-feature/1bac866a-831b-47ae-ad98-ccf4bea7e5be/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Process Content Recommender Agent","Intelligently recommends relevant process content in SAP Signavio.","Joule","Business Transformation Management","","Beta","Beta","J940","","","https://discovery-center.cloud.sap/ai-feature/aa94ac46-bbb3-405e-a7f9-1e14e9bc16db/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Production Planning and Operations Agent","Accelerate order-to-delivery by releasing orders in half the time.","SAP S/4HANA Cloud Public Edition‚ Joule","Cloud ERP applications","","Beta","Beta","J383","","Manufacturing Assistant","https://discovery-center.cloud.sap/ai-feature/2bac78a3-811f-456f-b950-a4fb3e7d2ac5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Project Billing Price Verification Agent","Help billing specialists identify and resolve price discrepancies efficiently.","SAP S/4HANA Cloud Public Edition","Cloud ERP applications","","Beta","Beta","J1325","","","https://discovery-center.cloud.sap/ai-feature/540eb523-953a-43eb-8f93-525ee99d57fd/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Project Setup Agent","Help project managers quickly set up projects using past project data.","SAP S/4HANA Cloud Public Edition‚ Joule","Cloud ERP applications","","Beta","Beta","J872","","","https://discovery-center.cloud.sap/ai-feature/49c08b5c-583b-4108-ba23-401c3da051cf/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Q&A Agent","Autonomously process and answer questions from existing customer data.","SAP Sales Cloud Version 2‚ SAP Service Cloud Version 2‚ SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J939","","","https://discovery-center.cloud.sap/ai-feature/8babb1dd-2669-44d4-879e-32d86033a40d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Quote Creation Agent","Automate quote generation in SAP Cloud for Customer.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J657","","","https://discovery-center.cloud.sap/ai-feature/915726b6-d078-4d9a-bf0b-fb3e7b323335/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Receipt Analysis Agent","ExpenseIt powered by Receipt Analysis Agent accurately extracts receipt data.","Concur Expense","Spend Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J882","","Expense Management Assistant","https://discovery-center.cloud.sap/ai-feature/2874809e-283f-4c8e-80d4-cadc7d49e76d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Screen Guide Agent","Accelerate understanding and adoption of SAP Signavio","SAP Signavio Process Collaboration Hub‚ Joule","Business Transformation Management","","Beta","Beta","J1130","","","https://discovery-center.cloud.sap/ai-feature/1be89884-5087-4293-9b9e-da35987fe9bc/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Service and Maintenance Dispatching Agent","Autonomously schedule and optimize service orders.","SAP Field Service Management‚ Joule","Supply Chain Management","","Beta","Beta","J468","","","https://discovery-center.cloud.sap/ai-feature/9c354ba9-b021-470a-b75d-b6e7bf4405de/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Shopping Agent","Transform your online shopping experience with an AI shopping agent.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J278","","","https://discovery-center.cloud.sap/ai-feature/a106376a-e832-4ee5-a8cc-3e2cc0c64ecc/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Sourcing Event Agent","Run smarter sourcing events faster and with less effort.","SAP Ariba Sourcing‚ Joule","Spend Management","","Beta","Beta","J1632","","","https://discovery-center.cloud.sap/ai-feature/944d71fe-90ad-4ef9-894c-878a4a326893/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Tender Analysis Agent","Draft quotes to boost sales efficiency and increase revenue with an agent.","SAP Intelligent Product Recommendation","Financial Management","Premium","Generally Available","Generally Available","J314","","","https://discovery-center.cloud.sap/ai-feature/9827c197-bed1-4b64-9381-379d5458bc2a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Utilities Customer Self-Service Agent","Reduce customer service costs and improve customer satisfaction.","Utilities Customer Self-Service Agent","Supply Chain Management","Premium","Generally Available","Generally Available","J395","","","https://discovery-center.cloud.sap/ai-feature/d8258905-a4d1-4c01-8dcb-0ca1a6c3800d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Value Case Creation Agent","Turn process insights into actionable value cases in SAP Signavio.","SAP Signavio Process Intelligence‚ Joule","Business Transformation Management","","Beta","Beta","J1131","","","https://discovery-center.cloud.sap/ai-feature/e5f8f643-4dc9-46d4-96e6-15d73187869a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","SAP-Delivered Agent","Discovery Center AI Agent","Workspace Administration Agent","Onboard new process experts quickly in SAP Signavio.","SAP Signavio Process Collaboration Hub‚ Joule","Business Transformation Management","","Beta","Beta","J1129","","","https://discovery-center.cloud.sap/ai-feature/d8e34c50-6983-4129-aa44-3356bf2fb4bf/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Accounts Payable Assistant","Supports payments, exceptions, risk checks, and vendor reconciliation.","Joule","Financial Management","","Not stated on the current SAP catalogue page","Not stated","","","","https://www.sap.com/use-cases/joule-assistant/accounts-payable-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Accounts Receivable Assistant","Supports collections, disputes, and customer-account context.","Joule","Financial Management","","SAP roadmap: GA planned Q2 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/accounts-receivable-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Asset and Service Assistant","Supports asset alerts, maintenance planning, scheduling, and technician support.","Joule","Supply Chain Management","","SAP roadmap: GA planned Q3 2026","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/asset-and-service-management-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Billing Assistant","Supports billing validation, posting-error resolution, and invoice accuracy.","Joule","Financial Management","","SAP roadmap: GA planned Q2 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/billing-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Business Network Assistant","Supports buy-side, sell-side, and partner collaboration across procurement, logistics, and assets.","Joule","Business Network","","SAP roadmap: GA planned Q4 2026","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/business-network-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Buying Assistant","Supports catalogue quality, spend leakage analysis, and supplier recommendations.","Joule","Spend Management","","SAP roadmap: GA planned September 2026","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/buying-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Campaign Assistant","Supports campaign planning, audience activation, and optimisation.","Joule","Customer Experience","","SAP roadmap: GA planned Q3 2026","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/campaign-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Career and Talent Development Assistant","Supports career paths, development plans, succession, and internal mobility.","Joule","Human Capital Management","","SAP roadmap: GA planned June 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/career-talent-development-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Case Management Assistant","Supports case preparation, processing, knowledge, and next-best action.","Joule","Customer Experience","","SAP roadmap: GA planned Q2 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/case-management-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Cash and Treasury Assistant","Supports cash positioning, liquidity, forecasting, and bank relationships.","Joule","Financial Management","","SAP roadmap: Early Adopter Care planned Q2 2026; verify current delivery","Early Adopter / EAC","","","","https://www.sap.com/use-cases/joule-assistant/cash-treasury-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Category Management Assistant","Supports category strategies, spend analysis, and market intelligence.","Joule","Spend Management","","SAP roadmap: GA planned September 2026","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/category-management-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Compensation Assistant","Supports compensation planning, equity, guidance, and approvals.","Joule","Human Capital Management","","SAP roadmap: GA planned June 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/compensation-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Content Assistant","Supports content generation, localisation, and real-time personalisation.","Joule","Customer Experience","","SAP roadmap: GA planned Q3 2026","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/content-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Core HR Assistant","Supports employee-data integrity, positions, and HR workflows.","Joule","Human Capital Management","","SAP roadmap: GA planned June 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/core-hr-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Deal Closing Assistant","Supports quote creation, pricing validation, and order conversion.","Joule","Customer Experience","","SAP roadmap: GA planned Q3 2026","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/deal-closing-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Deal Qualification Assistant","Supports lead enrichment, qualification, routing, and conversion.","Joule","Customer Experience","","SAP roadmap: GA planned Q2 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/deal-qualification-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Enterprise Architecture Assistant","Supports SAP LeanIX factsheet enrichment, internal research, and web research.","Joule","Business Transformation Management","","SAP roadmap: GA planned June 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/enterprise-architecture-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Expense Management Assistant","Supports expense capture, validation, compliance, and reimbursement.","Joule","Financial Management; Spend Management","","SAP roadmap: GA planned June 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/expense-management-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Financial Closing Assistant","Supports close execution, postings, accruals, reconciliation, and issue resolution.","Joule","Financial Management","","SAP roadmap: GA planned Q2 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/financial-closing-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Financial Planning Assistant","Supports forecasting, scenario modelling, and continuous plan updates.","Joule","Financial Management","","SAP roadmap: GA planned Q3 2026","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/financial-planning-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","Governance Assistant","Supports governance, risk, controls, audit, and regulatory monitoring.","Joule","Financial Management","","SAP roadmap: GA planned Q4 2026","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/grc-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","HR Knowledge Assistant","Provides cited answers from HR policy and employment-compliance content.","Joule","Human Capital Management","","SAP roadmap: GA planned June 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/hr-knowledge-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","HR Service Assistant","Supports employee HR service, self-service, and specialist-agent routing.","Joule","Human Capital Management","","SAP roadmap: GA planned June 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/hr-service-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
"SAP.com Joule Assistants","SAP-Delivered Joule Assistant","Role and process assistant","HR System Assistant","Supports permissions, configuration transport, and audit readiness.","Joule","Human Capital Management","","SAP roadmap: GA planned June 2026; verify current delivery","Planned / roadmap","","","","https://www.sap.com/use-cases/joule-assistant/hr-system-ai","https://www.sap.com/products/artificial-intelligence/ai-assistant.html","2026-07-13","A current SAP.com catalogue entry is not, by itself, proof of GA for a specific product, region, or tenant."
